127.0.0.1, 2015-03-22 02:43:06, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000531
127.0.0.1, 2015-03-22 02:43:06, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002003
127.0.0.1, 2015-03-22 02:43:06, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000633
127.0.0.1, 2015-03-22 02:43:06, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000535
127.0.0.1, 2015-03-22 02:43:06, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000777
127.0.0.1, 2015-03-22 02:43:06, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000939
127.0.0.1, 2015-03-22 02:43:06, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000576
127.0.0.1, 2015-03-22 02:43:06, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000461
127.0.0.1, 2015-03-22 02:43:06, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000406
127.0.0.1, 2015-03-22 02:43:08, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000789
127.0.0.1, 2015-03-22 02:43:10, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.104291
127.0.0.1, 2015-03-22 02:43:13, GET, /welcome/default/user, HTTP/1.1, 303, 0.014720
127.0.0.1, 2015-03-22 02:43:13, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.124942
127.0.0.1, 2015-03-22 02:43:16, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.066331
127.0.0.1, 2015-03-22 02:43:22, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.017543
127.0.0.1, 2015-03-22 02:43:22, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.024248
127.0.0.1, 2015-03-22 02:43:25, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.021734
127.0.0.1, 2015-03-22 02:43:44, GET, //, HTTP/1.1, 303, 0.000821
127.0.0.1, 2015-03-22 02:43:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.021600
127.0.0.1, 2015-03-22 02:48:55, GET, /, HTTP/1.1, 303, 0.000583
127.0.0.1, 2015-03-22 02:48:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.027234
127.0.0.1, 2015-03-22 02:48:55, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000462
127.0.0.1, 2015-03-22 02:48:55, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000342
